rating,date,variation,verified_reviews,feedback,review_tokens,score
5,30-Jul-18,Oak Finish ,"I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!",1,"purchased,,,,mother,,,,knee,problems,,,,,give,,something,,,,trying,,,come,,getting,around,,fast,like,,did.She,enjoys,,,little,,big,things,,,,...,Alexa,play,,song,,,What,time,,,,,,,,,,cook,,,",0.7245
5,30-Jul-18,Charcoal Fabric ,"Love, Love, Love!!",1,",,Love,,,Love,!",0.9347
5,30-Jul-18,Oak Finish ,Just what I expected....,1,",I,expected",0.0
5,30-Jul-18,Heather Gray Fabric ,"I love it, wife hates it.",1,"love,,,,wife,hates,",0.3182
5,30-Jul-18,Heather Gray Fabric ,Really happy with this purchase.  Great speaker and easy to set up.,1,"happy,,,purchase,.,Great,speaker,,easy,,set,",0.8999
5,30-Jul-18,Heather Gray Fabric ,We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,1,",,,using,Alexa,,,couple,,days,,,,,lot,,fun,,,new,toy,.,It,like,,,new,household,member,!,We,,trying,,learn,,,different,featues,,benefits,,come,,",0.8268
5,30-Jul-18,Charcoal Fabric ,We love the size of the 2nd generation echo. Still needs a little improvement on sound,1,"love,,size,,,2nd,generation,echo,.,Still,needs,,little,improvement,",0.785
4,30-Jul-18,Sandstone Fabric ,"I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)",1,"liked,,original,Echo,.,This,,,,,shorter,,,greater,fabric/color,choices,.,I,miss,,volume,ring,,top,,,,,'s,,,plus/minus,buttons,.,Not,,big,deal,,,ring,w,,comforting,.,:,),Other,,,,,well,I,,like,,use,,,standard,USB,charger,/port,instead,,,previous,round,pin,.,Other,,,,,I,guess,,sounds,,,,,seems,,work,,,,,still,answers,,Alexa/Echo/Computer,.,So,,'s,,,like,?,:",0.9794
5,30-Jul-18,Charcoal Fabric ,Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.,1,",Echo,,,good,,music,sounds,playing,,,.,Alexa,understands,,commands,,,,difficult,,times,,,,find,specific,playlists,,songs,,Spotify,.,She,,good,,Amazon,Music,,,lacking,,,major,programs",0.765
5,30-Jul-18,Charcoal Fabric ,"We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.",1,"love,Alexa,!,We,use,,,play,music,,,play,radio,,iTunes,,,play,podcasts,,Anypod,,,,set,reminders,.,We,listen,,,flash,briefing,,news,,weather,every,morning,.,We,rely,,,custom,lists,.,We,like,,able,,voice,control,,volume,.,We,'re,sure,,'ll,continue,,find,new,uses.Sometimes,,'s,,bit,frustrating,,Alexa,,n't,understand,,,'re,saying",0.9117
4,30-Jul-18,Heather Gray Fabric ,"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",1,",,,set,,,,,days,.,Still,adding,smart,home,devices,,,.,The,speaker,,great,,playing,music,.,I,like,,size,,,,,,stationed,,,kitchen,counter,,,’,,,intrusive,,look,",0.8779
5,30-Jul-18,Charcoal Fabric ,I love it. It plays my sleep sounds immediately when I ask,1,"love,,.,It,plays,,sleep,sounds,immediately,,I",0.7351
3,30-Jul-18,Sandstone Fabric ,"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all.  Overall, not a big improvement over the 1st generation.",1,"got,,second,unit,,,bedroom,,,I,,expecting,,sounds,,,improved,,I,didnt,really,see,,difference,,,.,Overall,,,,,big,improvement,,,1st,generation",-0.2892
5,30-Jul-18,Sandstone Fabric ,Amazing product,1,,0.5859
5,30-Jul-18,Charcoal Fabric ,"I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge.",1,"love,,Echo,.,It,'s,easy,,operate,,,loads,,fun.It,,everything,,advertised,.,I,use,,mainly,,play,,favorite,tunes,,test,Alexa,'s,knowledge",0.91
5,30-Jul-18,Charcoal Fabric ,Sounds great!! Love them!,1,"great,!,!,Love,",0.88
4,30-Jul-18,Charcoal Fabric ,"Fun item to play with and get used to using.  Sometimes has hard time answering the questions you ask, but I think it will be better.",1,"item,,play,,,get,used,,using,.,Sometimes,,hard,time,answering,,questions,,ask,,,,I,think,,,,better",0.7579
5,30-Jul-18,Charcoal Fabric ,Just like the other one,1,"like,,",0.3612
5,30-Jul-18,Sandstone Fabric ,Still learning all the capabilities...but so far pretty pretty pretty good,1,"learning,,,capabilities,...,,,far,pretty,pretty,pretty",0.9237
4,30-Jul-18,Charcoal Fabric ,I like it,1,like,0.3612
5,30-Jul-18,Sandstone Fabric ,"She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great",1,"works,well,.,Needs,,learning,command,,unique,,,owners,,users,like,.,Alexa,“,learn,”,Tasha,’,,birthday,.,Or,Alexa,“,learn,”,,definition,,Fine,.,Etc,.,,,,,",0.8591
3,30-Jul-18,Heather Gray Fabric ,The speakers sound pretty good for being so small and setup is pretty easy.  I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units.  I know I've done it correctly but they won't sync.  That was my primary motivation for purchasing multiple units.,1,"speakers,sound,pretty,good,,,,small,,setup,,pretty,easy,.,I,bought,two,,,reason,I,,rate,,,3,,I,,followed,,instructions,,synching,music,,,units,.,I,know,I,'ve,done,,correctly,,,wo,n't,sync,.,That,,,primary,motivation,,purchasing,multiple,units",0.8481
5,30-Jul-18,Charcoal Fabric ,This device is awesome!,1,"device,,awesome",0.6588
5,30-Jul-18,Charcoal Fabric ,I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,1,"bought,,,compare,,speaker,quality,,,first,generation,speaker,,,like,,sound,better,.,I,,ship,,,,daughter,though,,I,like,,fact,,,first,generation,,,chargeable,base,,,bought,,keeps,,,mobile,,,needs,,better,sound,,,,,",0.8689
5,30-Jul-18,Sandstone Fabric ,"Love my Echo. Still learning all the things it will do. Wasn’t able to follow instructions included in the package, but found a great one on U-Tube.",1,",Echo,.,Still,learning,,,things,,,,.,Wasn,’,,able,,follow,instructions,included,,,package,,,,found,,great,one,,U-Tube",0.85
4,30-Jul-18,Heather Gray Fabric ,Speaker is better than 1st generation Echo,1,",better,,1st,generation",0.4404
5,30-Jul-18,Charcoal Fabric ,"This thing is way cool!  You should get one.  If you want to be cool, that is.",1,"thing,,way,cool,!,You,,get,one,.,If,,want,,,cool,,,,",0.636
5,30-Jul-18,Heather Gray Fabric ,"This is my first digital assistant so I'm giving this a good review. Speaker is really good for the cheap price on Prime day. Fun to play with and can be used as an alarm clock (That's what I was going to get in the first place, but I ended up with Echo). If you haven't had a go with one then definitely try it!What I like best is the number of other devices that it can connect with. My purchase came with a Smart Plug for $10 which I connect my lamp to. Alexa, turn of the lights!",1,",,first,digital,assistant,,I,'m,giving,,,good,review,.,Speaker,,really,good,,,cheap,price,,Prime,day,.,Fun,,play,,,,,used,,,alarm,clock,(,That,'s,,I,,going,,get,,,first,place,,,,I,ended,,,Echo,),.,If,,,n't,,,go,,one,,definitely,try,,!,What,I,like,best,,,number,,,devices,,,,connect,,.,My,purchase,came,,,Smart,Plug,,$,10,,I,connect,,lamp,,.,Alexa,,,turn,,,lights",0.9765
5,30-Jul-18,Charcoal Fabric ,My husband likes being able to use it to listen to music.  I wish we knew all it's capabilities,1,"husband,likes,,able,,use,,,listen,,music,.,I,wish,,knew,,,'s",0.6705
5,30-Jul-18,Charcoal Fabric ,"My Android would not allow Alexa to connect. Fortunately, my sister was here with her Apple cell. After an hour+ tech support fixed the glitches. We are up and running.",1,"Android,would,,allow,Alexa,,connect,.,Fortunately,,,,sister,,,,,Apple,cell,.,After,,hour+,tech,support,fixed,,glitches,.,We,,,,running",0.2579
4,30-Jul-18,Charcoal Fabric ,So far so good,1,"far,",0.6213
5,30-Jul-18,Charcoal Fabric ,Tried to play certain broadway shows like Camelot and it gives ne the group Camelot.,1,",play,certain,broadway,shows,like,Camelot,,,gives,ne,,group,Camelot",0.7184
5,30-Jul-18,Sandstone Fabric ,Great,1,,0.6249
5,30-Jul-18,Walnut Finish ,Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.,1,"satisfied,,,Echo,.,Alexa,,controls,,lights,,,family,room,,,wife,,listen,,Jimmy,Buffet,,,asking,Alexa",0.4754
2,30-Jul-18,Charcoal Fabric ,"It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals.",0,"'s,like,Siri,,,,fact,,,Siri,answers,,accurately,,Alexa,.,I,,n't,see,,real,need,,,,,household,,,though,,,,good,bargain,,prime,day,deals",0.7351
5,30-Jul-18,Charcoal Fabric ,Love my Echo. Still learning how every thing works but having tons of fun.,1,",Echo,.,Still,learning,,every,thing,works,,,tons,,fun",0.7935
5,30-Jul-18,Heather Gray Fabric ,I love you so much,1,"love,,",0.6369
3,30-Jul-18,Charcoal Fabric ,No different than Apple. To play a specific list of music you must have an Amazon of Spotify “plus/prime/etc” account.  So you must pay to play “your” music.  3 stars for that reason.  Everything else is 👍🏻 .,1,"different,,Apple,.,To,play,,specific,list,,music,,must,,,Amazon,,Spotify,“,plus/prime/etc,”,account,.,So,,must,pay,,play,“,,”,music,.,3,stars,,,reason,.,Everything,else,,👍🏻",0.3892
5,30-Jul-18,Charcoal Fabric ,"Excelente, lo unico es que no esta en español.",1,",,lo,unico,es,que,,esta,en,español",-0.296
5,30-Jul-18,Charcoal Fabric ,"I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.",1,"'m,still,learning,,,use,,,,,,far,,Echo,,great,!,The,sound,,actually,much,better,,I,,expecting",0.8955
5,30-Jul-18,Charcoal Fabric ,Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.,1,",,’,,expect,,,,.,Also,good,sound,quality,considering,price,(,70.00,,sale,),,features",0.4404
5,30-Jul-18,Charcoal Fabric ,The sound from this Echo 2nd Generation is phenomenal!  Not to mention that I just love Alexa!  She is very helpful.,1,"sound,,,Echo,2nd,Generation,,phenomenal,!,Not,,mention,,I,,love,Alexa,!,She,,,helpful",0.835
3,30-Jul-18,Sandstone Fabric ,like google better,1,google,0.6597
5,30-Jul-18,Charcoal Fabric ,Just had to have it and now lets play and learn how to get the most out of it.,1,",,,,,,lets,play,,learn,,,get,,,,,",0.34
5,30-Jul-18,Charcoal Fabric ,Works as advertised. Very easy to setup. Still learning what this can do.,1,",advertised,.,Very,easy,,setup,.,Still,learning,,,,",0.4927
4,30-Jul-18,Charcoal Fabric ,Great sound and easy to set up.,1,"sound,,easy,,set,",0.7906
5,30-Jul-18,Oak Finish ,"Love Alexa, bought others for friends",1,"Alexa,,,bought,others,",0.8074
5,30-Jul-18,Charcoal Fabric ,Love the echo I purchased it for company for my husband he is 83 and Alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,1,",echo,I,purchased,,,company,,,husband,,,83,,Alexa,,great,,,,,,,say,,name,,,tells,,,joke,,plays,,favorite",0.9382
5,30-Jul-18,Heather Gray Fabric ,😍,1,,0.0
5,30-Jul-18,Charcoal Fabric ,Love being able to listen to music easily. Still learning all the features available,1,",able,,listen,,music,easily,.,Still,learning,,,features",0.765
4,30-Jul-18,Heather Gray Fabric ,"Did t really know what I could use this device for. Used it for a few things, but need an overview",1,",really,know,,I,could,use,,device,,.,Used,,,,,things,,,,need,",0.0
5,30-Jul-18,Heather Gray Fabric ,Love this just wish it had a built in hub,1,",,wish,,,,built,",0.7845
5,30-Jul-18,Charcoal Fabric ,I use it primarily to play music.  It works wonderfully!  Still getting used to some of the many things it will do.  Amazon has sent several tips since I got it. Thanks for all your help!,1,"use,,primarily,,play,music,.,It,works,wonderfully,!,Still,getting,used,,,,,many,things,,,,.,Amazon,,sent,several,tips,since,I,got,,.,Thanks,,,,help",0.9214
5,30-Jul-18,Charcoal Fabric ,How easy if was to set up.,1,"easy,,,,set,",0.4404
4,30-Jul-18,Charcoal Fabric ,Fast response which was amazing.  Clear concise answers and sound quality is fantastic.  I am still getting used to Alexia and have not usde Echo to its full extent.,1,"response,,,amazing,.,Clear,concise,answers,,sound,quality,,fantastic,.,I,,still,getting,used,,Alexia,,,,usde,Echo,,,full,extent",0.875
5,30-Jul-18,Charcoal Fabric ,You’re all I need...na na nana!,1,"’,,,I,need,...,na,na,nana",0.0
5,30-Jul-18,Charcoal Fabric ,Does everything as expected and more.,1,"everything,,expected,,",0.0
5,30-Jul-18,Sandstone Fabric ,"I love my Echo!  Works just like they said it would. I don't have a &#34;smart&#34; home, so I cannot speak about that function, but everything else about it is good.",1,"love,,Echo,!,Works,,like,,said,,would,.,I,,n't,,,&,#,34,;,smart,&,#,34,;,home,,,,I,,,speak,,,function,,,,everything,else,,,,good",0.8172
5,30-Jul-18,Charcoal Fabric ,Great sound in a small package—easy to set up and use; fun to own.,1,"sound,,,small,package—easy,,set,,,use,;,fun,,",0.8126
5,30-Jul-18,Charcoal Fabric ,Works and sounds great.,1,",sounds,great",0.6249
5,30-Jul-18,Heather Gray Fabric ,The sound is amazing and many collections of all music,1,"sound,,amazing,,many,collections,,",0.5859
4,30-Jul-18,Sandstone Fabric ,Setting up,1,,0.0
5,30-Jul-18,Heather Gray Fabric ,She doesn’t always listen,1,",’,,always",0.0
5,30-Jul-18,Charcoal Fabric ,It’s awesome,1,"’,",0.6249
4,30-Jul-18,Heather Gray Fabric ,"I bought this because it can control fios television. It works well. I’m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many “apps” you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I’m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located.",1,"bought,,,,,control,fios,television,.,It,works,well,.,I,’,,hoping,,time,,,,,,control,fios,.,Then,I,discovered,,,,things,Alexa,,,.,Play,music,,ask,,.,Great,sound,,Alexa,.,Play,games,.,Play,radio,stations,.,Play,old,time,radio,programs,like,,Long,Ranger,.,Alexa,,many,“,apps,”,,,add,,,abilities,.,The,,day,I,played,Madlibs,.,Great,fun,.,Also,Alexa,,control,household,appliances,.,I,,purchased,Alexa,compatible,power,strips,,control,lighting,,,fans,,TV,components,.,I,’,,looking,forward,,implementing,,controll,.,You,,also,add,,Alexa,components,,,chosen,music,,play,,,rooms,,,components,,located",0.9853
5,30-Jul-18,Heather Gray Fabric ,The speaker has excellent sound and works perfectly!,1,"speaker,,excellent,sound,,works,perfectly",0.8478
5,30-Jul-18,Charcoal Fabric ,I LIKE IT ALL,1,"LIKE,IT",0.3612
5,30-Jul-18,Charcoal Fabric ,I love it. It does everything,1,"love,,.,It,",0.6369
5,30-Jul-18,Heather Gray Fabric ,I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit intimidating at first but it didn't take me to long to figure it out!! I'm very happy with my purchase and now thinking of adding an echo spot!!!,1,",,little,nervous,,I,received,,new,Echo,,I,'m,,really,Tech,savvy,.,I,found,,,bit,intimidating,,first,,,,n't,take,,,long,,figure,,,!,!,I,'m,,happy,,,purchase,,,thinking,,adding,,echo,spot,!,!",0.7433
4,30-Jul-18,Charcoal Fabric ,I like it and still learning how to use it.,1,"like,,,still,learning,,,use,",0.3612
5,30-Jul-18,Charcoal Fabric ,Great technology!! Can't believe the speaker volume and quality is so wonderful. Wish I had bought another one!,1,"technology,!,!,Ca,n't,believe,,speaker,volume,,quality,,,wonderful,.,Wish,I,,bought,another,one",0.9287
5,30-Jul-18,Heather Gray Fabric ,"I purchased an echo dot for my husband for Fathers Day.  He uses it constantly and after hearing the quality of sound of the Echo (2nd Generation), It was a no-brainer.  Best gift ever!",1,"purchased,,echo,dot,,,husband,,Fathers,Day,.,He,uses,,constantly,,,hearing,,quality,,sound,,,Echo,(,2nd,Generation,),,,It,,,no-brainer,.,Best,gift,ever",0.8122
4,30-Jul-18,Charcoal Fabric ,Works fine!!,1,"fine,!",0.3365
5,30-Jul-18,Heather Gray Fabric , ,1,,0.0
5,30-Jul-18,Charcoal Fabric ,Clear music,1,,0.3818
5,30-Jul-18,Charcoal Fabric ,"Fun to use, good sound quality",1,",use,,,good,sound",0.7351
5,30-Jul-18,Sandstone Fabric ,The echo works well. I was able to sync it with my other Amazon music devices.,1,"echo,works,well,.,I,,able,,sync,,,,,Amazon,music,devices",0.4215
5,30-Jul-18,Charcoal Fabric ,"Works great, but I don't think Amazon should charge another cent for unlimited music when you 1) Have Prime AND 2) Buy an Echo.",1,"great,,,,I,,n't,think,Amazon,,charge,another,cent,,unlimited,music,,,1,),Have,Prime,AND,2,),Buy,,Echo",0.1957
5,30-Jul-18,Charcoal Fabric ,Already had an Echo Dot. The Echo is even better with fuller sound. Also during setup it now lets phone calls to be made to my contact list which is great!,1,",,Echo,Dot,.,The,Echo,,even,better,,fuller,sound,.,Also,,setup,,,lets,phone,calls,,,made,,,contact,list,,,great",0.807
5,30-Jul-18,Charcoal Fabric ,The speaker sounds really good,1,"speaker,sounds,really",0.4927
5,30-Jul-18,Heather Gray Fabric ,Good sound works well,1,"sound,works",0.6124
5,30-Jul-18,Charcoal Fabric ,Love it and Alexa. I am not very savvy but support was very helpful and patient.,1,",,Alexa,.,I,,,,savvy,,support,,,helpful,,patient",0.893
5,30-Jul-18,Charcoal Fabric ,"Love it! I was thinking about getting one and when the prime day discount was offered, I could not pass it up! It's fun to ask Alexa to play any song or group and she comes up with a playlist from Amazon Prime Music. You can also connect your iPhone with bluetooth and play music with Pandora or YouTube videos using Alexa as a speaker. I've been having fun asking Alexa different types of questions or for information like weather, news or even the time in other countries. The only downside is if you have limited data on your wifi plan, because Alexa uses burns it up when playing music.",1,",!,I,,thinking,,getting,one,,,,prime,day,discount,,offered,,,I,could,,pass,,,!,It,'s,fun,,ask,Alexa,,play,,song,,group,,,comes,,,,playlist,,Amazon,Prime,Music,.,You,,also,connect,,iPhone,,bluetooth,,play,music,,Pandora,,YouTube,videos,using,Alexa,,,speaker,.,I,'ve,,,fun,asking,Alexa,different,types,,questions,,,information,like,weather,,,news,,even,,time,,,countries,.,The,,downside,,,,,limited,data,,,wifi,plan,,,,Alexa,uses,burns,,,,playing,music",0.9537
5,30-Jul-18,Charcoal Fabric ,"We like it all so far, but have a lot to try out yet.",1,"like,,,,far,,,,,,lot,,try,,yet",0.1901
5,30-Jul-18,Heather Gray Fabric ,Love it - am using it strictly for music now and it's great!,1,",-,,using,,strictly,,music,,,,'s,great",0.8622
5,30-Jul-18,Sandstone Fabric ,"Love the Echo !!! I love the size, material and speaker quality. I have it hooked up to one light easily and will work on additional lights and thermostat. Next is Echo Dot for bedroom. There is a lot more to do with Echo that you think. Traffic, Weather, Trivia, etc.",1,",Echo,!,!,!,I,love,,size,,,material,,speaker,quality,.,I,,,hooked,,,one,light,easily,,,work,,additional,lights,,thermostat,.,Next,,Echo,Dot,,bedroom,.,There,,,lot,,,,,Echo,,,think,.,Traffic,,,Weather,,,Trivia,,,etc",0.9131
4,30-Jul-18,Charcoal Fabric ,Love it!,1,,0.6696
5,30-Jul-18,Charcoal Fabric ,The entire family loves Alexa Echo. She’s now a part of this family.,1,"entire,family,loves,Alexa,Echo,.,She,’,,,,part,,,family",0.5719
5,30-Jul-18,Walnut Finish ,"Great fun getting to know all the functions of this product.  WOW -- family fun and homework help.  Talking with other grandchildren,who also have an Echo, is a HUGE bonus.  Can't wait to learn more and more and more",1,"fun,getting,,know,,,functions,,,product,.,WOW,--,family,fun,,homework,help,.,Talking,,,grandchildren,,,,also,,,Echo,,,,,HUGE,bonus,.,Ca,n't,wait,,learn,,,,",0.9763
5,30-Jul-18,Heather Gray Fabric ,Love it!,1,,0.6696
5,30-Jul-18,Heather Gray Fabric ,"awesome thing, love Alexa",1,"thing,,,love",0.8519
5,30-Jul-18,Charcoal Fabric ,It worked exactly as expected and the speaker has great sound. It is perfect for my classroom!,1,"worked,exactly,,expected,,,speaker,,great,sound,.,It,,perfect,,,classroom",0.8439
5,30-Jul-18,Charcoal Fabric ,"LOVE, LOVE this new little gadget.  Has  made our lives so much easier.  it's like having our own personal secretary living here in the home.  We hardly need our CD's anymore, since ALEXA plays everything we need.  Going to get the Alexa DOTS soon for more rooms.  Thanks!!",1,",,LOVE,,new,little,gadget,.,Has,made,,lives,,much,easier,.,,'s,like,,,,personal,secretary,living,,,,home,.,We,hardly,need,,CD,'s,anymore,,,since,ALEXA,plays,everything,,need,.,Going,,get,,Alexa,DOTS,soon,,,rooms,.,Thanks,!",0.9691
4,30-Jul-18,Heather Gray Fabric ,The speaker is of surprising quality. Happy with the purchase.,1,"speaker,,,surprising,quality,.,Happy,,,purchase",0.7003
5,30-Jul-18,Charcoal Fabric ,Very easy to set up. Works wonderful and I love it!!,1,"easy,,set,,.,Works,wonderful,,I,love,,!",0.9132
5,30-Jul-18,Sandstone Fabric ,I'm really impressed with the sound quality when playing music from this device.  The bass sounds almost like it's coming from a bigger speaker so props to Amazon.,1,"'m,really,impressed,,,sound,quality,,playing,music,,,device,.,The,bass,sounds,almost,like,,'s,coming,,,bigger,speaker,,props,,Amazon",0.8107
4,30-Jul-18,Charcoal Fabric ,"It’s still a great product.But the sound quality does seem worse.Don’t get me wrong. You definitely get used to it within an hour. But it definitely feels like echo gen 1 sound quality was better.Besides that , it’s great.With the addition of being able to play Just over Bluetooth with no WiFi, it’s even better.",1,"’,,still,,great,product.But,,sound,quality,,seem,worse.Don,’,,get,,wrong,.,You,definitely,get,used,,,within,,hour,.,But,,definitely,feels,like,echo,gen,1,sound,quality,,better.Besides,,,,,’,,great.With,,addition,,,able,,play,Just,,Bluetooth,,,WiFi,,,,’,,even,better",0.9231
4,30-Jul-18,Sandstone Fabric ,The outlet does not work with it. Was disappointed in that.,1,"outlet,,,work,,,.,Was,disappointed,,",-0.4767
4,30-Jul-18,Charcoal Fabric ,"Great device, responsive and helpful",1,"device,,,responsive,",0.8555
2,30-Jul-18,Charcoal Fabric ,Sound is terrible if u want good music too get a bose,0,",terrible,,u,want,good,music,,get,",0.0258
4,30-Jul-18,Charcoal Fabric ,"i liked the sound . what is troubling is that I paid extra money to have access to a million more songs. Sometimes it doesn't work. Ex. Alexa play Italian songs&#34; .don't have or don&#34; t understand. or play the opera Tosca, response &#34;sorry I don&#34;t have that.",1,"liked,,sound,.,,,troubling,,,I,paid,extra,money,,,access,,,million,,songs,.,Sometimes,,,n't,work,.,Ex,.,Alexa,play,Italian,songs,&,#,34,;,.do,n't,,,,&,#,34,;,,understand,.,,play,,opera,Tosca,,,response,&,#,34,;,sorry,I,,&,#,34,;,,,",0.4767
5,30-Jul-18,Charcoal Fabric ,Easy to set up and use. Too bad it has to be plugged in. Would be nice to take it outside and operate on battery and recharged.,1,",set,,,use,.,Too,bad,,,,,plugged,,.,Would,,nice,,take,,outside,,operate,,battery,,recharged",0.296
5,30-Jul-18,Charcoal Fabric ,Still learning all the ways to use it.  It is a real hit with my grandkids who ask it to play music and then dance to it.  (5 and 7 yrs).  Very cute.,1,"learning,,,ways,,use,,.,It,,,real,hit,,,grandkids,,ask,,,play,music,,,dance,,,.,(,5,,7,yrs,),.,Very,cute",0.6901
4,30-Jul-18,Oak Finish ,"4.5 out of 5 Stars. I generally like this product. Its great at doing what you ask of it like playing music, setting timers, and making calls. Reason why I didn't rate it 5 out of 5 is that sometimes the connection dies and my Echo stops playing music and shows a red ring. Seems to be a connection issue. Overall, great product.",1,",,5,Stars,.,I,generally,like,,product,.,Its,great,,,,,ask,,,like,playing,music,,,setting,timers,,,,making,calls,.,Reason,,I,,n't,rate,,5,,,5,,,sometimes,,connection,dies,,,Echo,stops,playing,music,,shows,,red,ring,.,Seems,,,,connection,issue,.,Overall,,,great,product",0.9349
5,30-Jul-18,Charcoal Fabric ,"Works great, upgraded from echo dot to full size echo, couldn’t be happier!",1,"great,,,upgraded,,echo,dot,,full,size,echo,,,,’,,,happier",0.8313
